service,pod,timestamp,value
cartservice,cartservice-578c7dc78d-6mtrs,1739285386,55111680
cartservice,cartservice-578c7dc78d-6mtrs,1739285686,60727296
cartservice,cartservice-578c7dc78d-6mtrs,1739285986,59559936
cartservice,cartservice-578c7dc78d-6mtrs,1739286286,60002304
cartservice,cartservice-578c7dc78d-6mtrs,1739286586,63488000
cartservice,cartservice-578c7dc78d-6mtrs,1739286886,183013376
cartservice,cartservice-578c7dc78d-6mtrs,1739287186,64020480
cartservice,cartservice-578c7dc78d-6mtrs,1739287486,64630784
cartservice,cartservice-578c7dc78d-6mtrs,1739287786,162344960
cartservice,cartservice-578c7dc78d-6mtrs,1739288086,68276224
cartservice,cartservice-578c7dc78d-6mtrs,1739288386,194793472
cartservice,cartservice-578c7dc78d-6mtrs,1739288686,196935680
cartservice,cartservice-578c7dc78d-6mtrs,1739288986,199761920
cartservice,cartservice-578c7dc78d-6mtrs,1739289286,200065024
cartservice,cartservice-578c7dc78d-6mtrs,1739289586,200208384
cartservice,cartservice-578c7dc78d-6mtrs,1739289886,202870784
cartservice,cartservice-578c7dc78d-6mtrs,1739290186,203567104
cartservice,cartservice-578c7dc78d-6mtrs,1739290486,205852672
cartservice,cartservice-578c7dc78d-6mtrs,1739290786,206163968
cartservice,cartservice-578c7dc78d-6mtrs,1739291086,207011840
cartservice,cartservice-578c7dc78d-6mtrs,1739291386,206262272
cartservice,cartservice-578c7dc78d-6mtrs,1739291686,206422016
cartservice,cartservice-578c7dc78d-6mtrs,1739291986,200142848
cartservice,cartservice-578c7dc78d-6mtrs,1739292286,127062016
cartservice,cartservice-578c7dc78d-6mtrs,1739292586,202616832
cartservice,cartservice-578c7dc78d-6mtrs,1739292886,204386304
cartservice,cartservice-578c7dc78d-6mtrs,1739293186,77041664
cartservice,cartservice-578c7dc78d-6mtrs,1739293486,207249408
cartservice,cartservice-578c7dc78d-6mtrs,1739293786,209367040
cartservice,cartservice-578c7dc78d-6mtrs,1739294086,209866752
cartservice,cartservice-578c7dc78d-6mtrs,1739294386,210092032
cartservice,cartservice-578c7dc78d-6mtrs,1739294686,210391040
cartservice,cartservice-578c7dc78d-6mtrs,1739294986,210661376
cartservice,cartservice-578c7dc78d-6mtrs,1739295286,210546688
cartservice,cartservice-578c7dc78d-6mtrs,1739295586,210538496
cartservice,cartservice-578c7dc78d-6mtrs,1739295886,210853888
cartservice,cartservice-578c7dc78d-6mtrs,1739296186,210407424
cartservice,cartservice-578c7dc78d-6mtrs,1739296486,208855040
cartservice,cartservice-578c7dc78d-6mtrs,1739296786,209797120
cartservice,cartservice-578c7dc78d-6mtrs,1739297086,198983680
cartservice,cartservice-578c7dc78d-6mtrs,1739297386,201748480
cartservice,cartservice-578c7dc78d-6mtrs,1739297686,204156928
cartservice,cartservice-578c7dc78d-6mtrs,1739297986,205033472
cartservice,cartservice-578c7dc78d-6mtrs,1739298286,205049856
cartservice,cartservice-578c7dc78d-6mtrs,1739298586,206102528
cartservice,cartservice-578c7dc78d-6mtrs,1739298886,206213120
cartservice,cartservice-578c7dc78d-6mtrs,1739299186,206893056
cartservice,cartservice-578c7dc78d-6mtrs,1739299486,206303232
cartservice,cartservice-578c7dc78d-6mtrs,1739299786,206745600
cartservice,cartservice-578c7dc78d-6mtrs,1739300086,206753792
cartservice,cartservice-578c7dc78d-6mtrs,1739300386,207400960
cartservice,cartservice-578c7dc78d-6mtrs,1739300686,208797696
cartservice,cartservice-578c7dc78d-6mtrs,1739300986,208535552
cartservice,cartservice-578c7dc78d-6mtrs,1739301286,201117696
cartservice,cartservice-578c7dc78d-6mtrs,1739301586,202510336
cartservice,cartservice-578c7dc78d-6mtrs,1739301886,203096064
cartservice,cartservice-578c7dc78d-6mtrs,1739302186,203255808
cartservice,cartservice-578c7dc78d-6mtrs,1739302486,203362304
cartservice,cartservice-578c7dc78d-6mtrs,1739302786,203493376
cartservice,cartservice-578c7dc78d-6mtrs,1739303086,207413248
cartservice,cartservice-578c7dc78d-6mtrs,1739303386,202661888
cartservice,cartservice-578c7dc78d-6mtrs,1739303686,207966208
cartservice,cartservice-578c7dc78d-6mtrs,1739303986,208084992
cartservice,cartservice-578c7dc78d-6mtrs,1739304286,208863232
cartservice,cartservice-578c7dc78d-6mtrs,1739304586,208945152
cartservice,cartservice-578c7dc78d-6mtrs,1739304886,79982592
cartservice,cartservice-578c7dc78d-6mtrs,1739305186,79663104
cartservice,cartservice-578c7dc78d-6mtrs,1739305486,79659008
cartservice,cartservice-578c7dc78d-6mtrs,1739305786,107057152
cartservice,cartservice-578c7dc78d-6mtrs,1739306086,129331200
cartservice,cartservice-578c7dc78d-6mtrs,1739306386,205172736
cartservice,cartservice-578c7dc78d-6mtrs,1739306686,206970880
cartservice,cartservice-578c7dc78d-6mtrs,1739306986,207560704
cartservice,cartservice-578c7dc78d-6mtrs,1739307286,207912960
cartservice,cartservice-578c7dc78d-6mtrs,1739307586,206663680
cartservice,cartservice-578c7dc78d-6mtrs,1739307886,210731008
cartservice,cartservice-578c7dc78d-6mtrs,1739308186,212090880
cartservice,cartservice-578c7dc78d-6mtrs,1739308486,211615744
cartservice,cartservice-578c7dc78d-6mtrs,1739308786,211881984
cartservice,cartservice-578c7dc78d-6mtrs,1739309086,81240064
cartservice,cartservice-578c7dc78d-6mtrs,1739309386,196374528
cartservice,cartservice-578c7dc78d-6mtrs,1739309686,197251072
cartservice,cartservice-578c7dc78d-6mtrs,1739309986,197828608
cartservice,cartservice-578c7dc78d-6mtrs,1739310286,201871360
cartservice,cartservice-578c7dc78d-6mtrs,1739310586,202948608
cartservice,cartservice-578c7dc78d-6mtrs,1739310886,203018240
cartservice,cartservice-578c7dc78d-6mtrs,1739311186,147042304
cartservice,cartservice-578c7dc78d-6mtrs,1739311486,203100160
cartservice,cartservice-578c7dc78d-6mtrs,1739311786,204161024
cartservice,cartservice-578c7dc78d-6mtrs,1739312086,204509184
cartservice,cartservice-578c7dc78d-6mtrs,1739312386,205180928
cartservice,cartservice-578c7dc78d-6mtrs,1739312686,205418496
cartservice,cartservice-578c7dc78d-6mtrs,1739312986,206426112
cartservice,cartservice-578c7dc78d-6mtrs,1739313286,205963264
cartservice,cartservice-578c7dc78d-6mtrs,1739313586,205840384
cartservice,cartservice-578c7dc78d-6mtrs,1739313886,205750272
cartservice,cartservice-578c7dc78d-6mtrs,1739314186,206123008
cartservice,cartservice-578c7dc78d-6mtrs,1739314486,206049280
cartservice,cartservice-578c7dc78d-6mtrs,1739314786,206368768
cartservice,cartservice-578c7dc78d-6mtrs,1739315086,206761984
cartservice,cartservice-578c7dc78d-6mtrs,1739315386,207282176
cartservice,cartservice-578c7dc78d-6mtrs,1739315686,206999552
cartservice,cartservice-578c7dc78d-6mtrs,1739315986,207130624
cartservice,cartservice-578c7dc78d-6mtrs,1739316286,207933440
cartservice,cartservice-578c7dc78d-6mtrs,1739316586,207949824
cartservice,cartservice-578c7dc78d-6mtrs,1739316886,207867904
cartservice,cartservice-578c7dc78d-6mtrs,1739317186,208429056
cartservice,cartservice-578c7dc78d-6mtrs,1739317486,208138240
cartservice,cartservice-578c7dc78d-6mtrs,1739317786,208162816
cartservice,cartservice-578c7dc78d-6mtrs,1739318086,208363520
