pod,timestamp,value
frontend,1732914538,68616192
frontend,1732914543,68616192
frontend,1732914548,68616192
frontend,1732914553,68616192
frontend,1732914558,68616192
frontend,1732914563,68616192
frontend,1732914568,68616192
frontend,1732914573,68616192
frontend,1732914578,68616192
frontend,1732914583,68616192
frontend,1732914588,68616192
frontend,1732914593,74465280
frontend,1732914598,74465280
frontend,1732914603,74465280
frontend,1732914608,74465280
frontend,1732914613,74465280
frontend,1732914618,74465280
frontend,1732914623,74465280
frontend,1732914628,74465280
frontend,1732914633,74465280
frontend,1732914638,74465280
frontend,1732914643,74465280
frontend,1732914648,74465280
frontend,1732914653,74465280
frontend,1732914658,74465280
frontend,1732914663,75001856
frontend,1732914668,75001856
frontend,1732914673,75001856
frontend,1732914678,75001856
frontend,1732914683,75001856
frontend,1732914688,75001856
frontend,1732914693,75001856
frontend,1732914698,75001856
frontend,1732914703,75001856
frontend,1732914708,75001856
frontend,1732914713,75001856
frontend,1732914718,75292672
frontend,1732914723,75292672
frontend,1732914728,75292672
frontend,1732914733,75292672
frontend,1732914738,75292672
frontend,1732914743,75292672
frontend,1732914748,75292672
frontend,1732914753,75292672
frontend,1732914758,75292672
frontend,1732914763,75292672
frontend,1732914768,75292672
frontend,1732914773,75292672
frontend,1732914778,75292672
frontend,1732914783,75157504
frontend,1732914788,75157504
frontend,1732914793,75157504
frontend,1732914798,75157504
frontend,1732914803,75157504
frontend,1732914808,75157504
frontend,1732914813,75157504
frontend,1732914818,75157504
frontend,1732914823,75157504
frontend,1732914828,75157504
frontend,1732914833,75157504
frontend,1732914838,75157504
frontend,1732914843,75993088
frontend,1732914848,75993088
frontend,1732914853,75993088
frontend,1732914858,75993088
frontend,1732914863,75993088
frontend,1732914868,75993088
frontend,1732914873,75993088
frontend,1732914878,75993088
frontend,1732914883,75993088
frontend,1732914888,75993088
frontend,1732914893,75993088
frontend,1732914898,75993088
frontend,1732914903,75993088
frontend,1732914908,75993088
frontend,1732914913,78168064
frontend,1732914918,78168064
frontend,1732914923,78168064
frontend,1732914928,78168064
frontend,1732914933,78168064
frontend,1732914938,78168064
frontend,1732914943,78168064
frontend,1732914948,78168064
frontend,1732914953,78168064
frontend,1732914958,78168064
frontend,1732914963,78168064
frontend,1732914968,78262272
frontend,1732914973,78262272
frontend,1732914978,78262272
frontend,1732914983,78262272
frontend,1732914988,78262272
frontend,1732914993,78262272
frontend,1732914998,78262272
frontend,1732915003,78262272
frontend,1732915008,78262272
frontend,1732915013,78262272
frontend,1732915018,78262272
frontend,1732915023,78471168
frontend,1732915028,78471168
frontend,1732915033,78471168
frontend,1732915038,78471168
frontend,1732915043,78471168
frontend,1732915048,78471168
frontend,1732915053,78471168
frontend,1732915058,78471168
frontend,1732915063,78471168
frontend,1732915068,78471168
frontend,1732915073,78471168
frontend,1732915078,78471168
frontend,1732915083,78471168
frontend,1732915088,78471168
frontend,1732915093,78655488
frontend,1732915098,78655488
frontend,1732915103,78655488
frontend,1732915108,78655488
frontend,1732915113,78655488
frontend,1732915118,78655488
frontend,1732915123,78655488
frontend,1732915128,78655488
frontend,1732915133,78655488
frontend,1732915138,78655488
frontend,1732915143,78659584
frontend,1732915148,78659584
frontend,1732915153,78659584
frontend,1732915158,78659584
frontend,1732915163,78659584
frontend,1732915168,78659584
frontend,1732915173,78659584
frontend,1732915178,78659584
frontend,1732915183,78659584
frontend,1732915188,78659584
frontend,1732915193,78659584
frontend,1732915198,78659584
frontend,1732915203,78557184
frontend,1732915208,78557184
frontend,1732915213,78557184
frontend,1732915218,78557184
frontend,1732915223,78557184
frontend,1732915228,78557184
frontend,1732915233,78557184
frontend,1732915238,78557184
frontend,1732915243,78557184
frontend,1732915248,78557184
frontend,1732915253,78557184
frontend,1732915258,78557184
frontend,1732915263,78557184
frontend,1732915268,78917632
frontend,1732915273,78917632
frontend,1732915278,78917632
frontend,1732915283,78917632
frontend,1732915288,78917632
frontend,1732915293,78917632
