service,pod,timestamp,value
k6-load-test,k6-load-test-28982880-2bgfw,1738972832,0
k6-load-test,k6-load-test-28982880-2bgfw,1738973132,40075264
k6-load-test,k6-load-test-28982880-2bgfw,1738973432,40734720
k6-load-test,k6-load-test-28982880-2bgfw,1738973732,40734720
k6-load-test,k6-load-test-28982880-2bgfw,1738974032,40792064
k6-load-test,k6-load-test-28982880-2bgfw,1738974332,40792064
k6-load-test,k6-load-test-28982880-2bgfw,1738974632,41009152
k6-load-test,k6-load-test-28982880-2bgfw,1738974932,40833024
k6-load-test,k6-load-test-28982880-2bgfw,1738975232,40833024
k6-load-test,k6-load-test-28982880-2bgfw,1738975532,40980480
k6-load-test,k6-load-test-28982880-2bgfw,1738975832,40980480
k6-load-test,k6-load-test-28982880-2bgfw,1738976132,41009152
k6-load-test,k6-load-test-28982880-2bgfw,1738976432,42860544
k6-load-test,k6-load-test-28982880-2bgfw,1738976732,41308160
k6-load-test,k6-load-test-28982880-2bgfw,1738977032,41373696
k6-load-test,k6-load-test-28982880-2bgfw,1738977332,41263104
k6-load-test,k6-load-test-28982880-2bgfw,1738977632,40779776
k6-load-test,k6-load-test-28982880-2bgfw,1738977932,40800256
k6-load-test,k6-load-test-28982880-2bgfw,1738978232,40800256
k6-load-test,k6-load-test-28982880-2bgfw,1738978532,40972288
k6-load-test,k6-load-test-28982880-2bgfw,1738978832,40808448
k6-load-test,k6-load-test-28982880-2bgfw,1738979132,40816640
k6-load-test,k6-load-test-28982880-2bgfw,1738979432,40919040
k6-load-test,k6-load-test-28982880-2bgfw,1738979732,40914944
k6-load-test,k6-load-test-28982880-2bgfw,1738980032,42975232
k6-load-test,k6-load-test-28982880-2bgfw,1738980332,41373696
k6-load-test,k6-load-test-28982880-2bgfw,1738980632,41418752
k6-load-test,k6-load-test-28982880-2bgfw,1738980932,41263104
k6-load-test,k6-load-test-28982880-2bgfw,1738981232,41287680
k6-load-test,k6-load-test-28982880-2bgfw,1738981532,41508864
k6-load-test,k6-load-test-28982880-2bgfw,1738981832,41238528
k6-load-test,k6-load-test-28982880-2bgfw,1738982132,43376640
k6-load-test,k6-load-test-28982880-2bgfw,1738982432,42938368
k6-load-test,k6-load-test-28982880-2bgfw,1738982732,42938368
k6-load-test,k6-load-test-28982880-2bgfw,1738983032,42938368
k6-load-test,k6-load-test-28982880-2bgfw,1738983332,42938368
k6-load-test,k6-load-test-28982880-2bgfw,1738983632,42938368
k6-load-test,k6-load-test-28982880-2bgfw,1738983932,42942464
k6-load-test,k6-load-test-28982880-2bgfw,1738984232,42942464
k6-load-test,k6-load-test-28982880-2bgfw,1738984532,43016192
k6-load-test,k6-load-test-28982880-2bgfw,1738984832,43016192
k6-load-test,k6-load-test-28982880-2bgfw,1738985132,43016192
k6-load-test,k6-load-test-28982880-2bgfw,1738985432,43016192
k6-load-test,k6-load-test-28982880-2bgfw,1738985732,43098112
k6-load-test,k6-load-test-28982880-2bgfw,1738986032,43134976
k6-load-test,k6-load-test-28982880-2bgfw,1738986332,43249664
k6-load-test,k6-load-test-28982880-2bgfw,1738986632,43278336
k6-load-test,k6-load-test-28982880-2bgfw,1738986932,43204608
k6-load-test,k6-load-test-28982880-2bgfw,1738987232,42954752
k6-load-test,k6-load-test-28982880-2bgfw,1738987532,42958848
k6-load-test,k6-load-test-28982880-2bgfw,1738987832,42958848
k6-load-test,k6-load-test-28982880-2bgfw,1738988132,42958848
k6-load-test,k6-load-test-28982880-2bgfw,1738988432,42958848
k6-load-test,k6-load-test-28982880-2bgfw,1738988732,42962944
k6-load-test,k6-load-test-28982880-2bgfw,1738989032,42958848
k6-load-test,k6-load-test-28982880-2bgfw,1738989332,44625920
k6-load-test,k6-load-test-28982880-2bgfw,1738989632,43122688
k6-load-test,k6-load-test-28982880-2bgfw,1738989932,43208704
k6-load-test,k6-load-test-28982880-2bgfw,1738990232,43253760
k6-load-test,k6-load-test-28982880-2bgfw,1738990532,43253760
k6-load-test,k6-load-test-28982880-2bgfw,1738990832,43266048
k6-load-test,k6-load-test-28982880-2bgfw,1738991132,45113344
k6-load-test,k6-load-test-28982880-2bgfw,1738991432,43257856
k6-load-test,k6-load-test-28982880-2bgfw,1738991732,43474944
k6-load-test,k6-load-test-28982880-2bgfw,1738992032,42979328
k6-load-test,k6-load-test-28982880-2bgfw,1738992332,42983424
k6-load-test,k6-load-test-28982880-2bgfw,1738992632,42983424
k6-load-test,k6-load-test-28982880-2bgfw,1738992932,42987520
k6-load-test,k6-load-test-28982880-2bgfw,1738993232,42987520
k6-load-test,k6-load-test-28982880-2bgfw,1738993532,43048960
k6-load-test,k6-load-test-28982880-2bgfw,1738993832,43008000
k6-load-test,k6-load-test-28982880-2bgfw,1738994132,43008000
k6-load-test,k6-load-test-28982880-2bgfw,1738994432,43008000
k6-load-test,k6-load-test-28982880-2bgfw,1738994732,43053056
k6-load-test,k6-load-test-28982880-2bgfw,1738995032,44703744
k6-load-test,k6-load-test-28982880-2bgfw,1738995332,43266048
k6-load-test,k6-load-test-28982880-2bgfw,1738995632,43159552
k6-load-test,k6-load-test-28982880-2bgfw,1738995932,43159552
k6-load-test,k6-load-test-28982880-2bgfw,1738996232,43278336
k6-load-test,k6-load-test-28982880-2bgfw,1738996532,42987520
k6-load-test,k6-load-test-28982880-2bgfw,1738996832,42995712
k6-load-test,k6-load-test-28982880-2bgfw,1738997132,42995712
k6-load-test,k6-load-test-28982880-2bgfw,1738997432,42995712
k6-load-test,k6-load-test-28982880-2bgfw,1738997732,43028480
k6-load-test,k6-load-test-28982880-2bgfw,1738998032,43028480
k6-load-test,k6-load-test-28982880-2bgfw,1738998332,43028480
k6-load-test,k6-load-test-28982880-2bgfw,1738998632,44707840
k6-load-test,k6-load-test-28982880-2bgfw,1738998932,43175936
k6-load-test,k6-load-test-28982880-2bgfw,1738999232,43290624
k6-load-test,k6-load-test-28982880-2bgfw,1738999532,43499520
k6-load-test,k6-load-test-28982880-2bgfw,1738999832,43270144
k6-load-test,k6-load-test-28982880-2bgfw,1739000132,43270144
k6-load-test,k6-load-test-28982880-2bgfw,1739000432,45395968
k6-load-test,k6-load-test-28982880-2bgfw,1739000732,43536384
k6-load-test,k6-load-test-28982880-2bgfw,1739001032,43282432
k6-load-test,k6-load-test-28982880-2bgfw,1739001332,43003904
k6-load-test,k6-load-test-28982880-2bgfw,1739001632,43003904
k6-load-test,k6-load-test-28982880-2bgfw,1739001932,43003904
k6-load-test,k6-load-test-28982880-2bgfw,1739002232,43016192
k6-load-test,k6-load-test-28982880-2bgfw,1739002532,43159552
k6-load-test,k6-load-test-28982880-2bgfw,1739002832,43184128
k6-load-test,k6-load-test-28982880-2bgfw,1739003132,43184128
k6-load-test,k6-load-test-28982880-2bgfw,1739003432,43184128
k6-load-test,k6-load-test-28982880-2bgfw,1739003732,43184128
k6-load-test,k6-load-test-28982880-2bgfw,1739004032,43192320
k6-load-test,k6-load-test-28982880-2bgfw,1739004332,43511808
k6-load-test,k6-load-test-28982880-2bgfw,1739004632,43380736
k6-load-test,k6-load-test-28982880-2bgfw,1739004932,43425792
k6-load-test,k6-load-test-28982880-2bgfw,1739005232,43495424
