source,destination,timestamp,reporter,value
checkoutservice,paymentservice,1739227000,destination,6486
checkoutservice,productcatalogservice,1739227000,destination,6907
checkoutservice,shippingservice,1739227000,destination,12970
frontend,adservice,1739227000,destination,61721
frontend,cartservice,1739227000,destination,149842
frontend,checkoutservice,1739227000,destination,7953
frontend,currencyservice,1739227000,destination,441262
frontend,productcatalogservice,1739227000,destination,632217
frontend,recommendationservice,1739227000,destination,89611
frontend,shippingservice,1739227000,destination,43496
recommendationservice,productcatalogservice,1739227000,destination,91509
unknown,frontend,1739227000,destination,181260
checkoutservice,cartservice,1739227060,destination,13339
checkoutservice,currencyservice,1739227060,destination,13505
checkoutservice,emailservice,1739227060,destination,6585
checkoutservice,paymentservice,1739227060,destination,6614
checkoutservice,productcatalogservice,1739227060,destination,7035
checkoutservice,shippingservice,1739227060,destination,13228
frontend,adservice,1739227060,destination,62915
frontend,cartservice,1739227060,destination,152526
frontend,checkoutservice,1739227060,destination,8076
frontend,currencyservice,1739227060,destination,450233
frontend,productcatalogservice,1739227060,destination,643137
frontend,recommendationservice,1739227060,destination,91686
frontend,shippingservice,1739227060,destination,44317
recommendationservice,productcatalogservice,1739227060,destination,93150
unknown,frontend,1739227060,destination,184142
checkoutservice,cartservice,1739227120,destination,13623
checkoutservice,currencyservice,1739227120,destination,13763
checkoutservice,emailservice,1739227120,destination,6720
checkoutservice,paymentservice,1739227120,destination,6752
checkoutservice,productcatalogservice,1739227120,destination,7185
checkoutservice,shippingservice,1739227120,destination,13502
frontend,adservice,1739227120,destination,64239
frontend,cartservice,1739227120,destination,155814
frontend,checkoutservice,1739227120,destination,8217
frontend,currencyservice,1739227120,destination,458663
frontend,productcatalogservice,1739227120,destination,656581
frontend,recommendationservice,1739227120,destination,93327
frontend,shippingservice,1739227120,destination,45249
recommendationservice,productcatalogservice,1739227120,destination,95179
unknown,frontend,1739227120,destination,187523
checkoutservice,cartservice,1739227180,destination,13913
checkoutservice,currencyservice,1739227180,destination,14061
checkoutservice,emailservice,1739227180,destination,6865
checkoutservice,paymentservice,1739227180,destination,6894
checkoutservice,productcatalogservice,1739227180,destination,7338
checkoutservice,shippingservice,1739227180,destination,13786
frontend,adservice,1739227180,destination,65566
frontend,cartservice,1739227180,destination,158993
frontend,checkoutservice,1739227180,destination,8362
frontend,currencyservice,1739227180,destination,468060
frontend,productcatalogservice,1739227180,destination,669463
frontend,recommendationservice,1739227180,destination,95348
frontend,shippingservice,1739227180,destination,46192
recommendationservice,productcatalogservice,1739227180,destination,97114
unknown,frontend,1739227180,destination,190879
checkoutservice,cartservice,1739227240,destination,14193
checkoutservice,currencyservice,1739227240,destination,14351
checkoutservice,emailservice,1739227240,destination,7008
checkoutservice,paymentservice,1739227240,destination,7040
checkoutservice,productcatalogservice,1739227240,destination,7487
checkoutservice,shippingservice,1739227240,destination,14078
frontend,adservice,1739227240,destination,66914
frontend,cartservice,1739227240,destination,162193
frontend,checkoutservice,1739227240,destination,8503
frontend,currencyservice,1739227240,destination,477377
frontend,productcatalogservice,1739227240,destination,682563
frontend,recommendationservice,1739227240,destination,97281
frontend,shippingservice,1739227240,destination,47140
recommendationservice,productcatalogservice,1739227240,destination,99090
unknown,frontend,1739227240,destination,194203
checkoutservice,cartservice,1739227300,destination,14461
checkoutservice,currencyservice,1739227300,destination,14646
checkoutservice,emailservice,1739227300,destination,7152
checkoutservice,paymentservice,1739227300,destination,7176
checkoutservice,productcatalogservice,1739227300,destination,7631
checkoutservice,shippingservice,1739227300,destination,14353
frontend,adservice,1739227300,destination,68243
frontend,cartservice,1739227300,destination,165258
frontend,checkoutservice,1739227300,destination,8640
frontend,currencyservice,1739227300,destination,486451
frontend,productcatalogservice,1739227300,destination,695041
frontend,recommendationservice,1739227300,destination,99275
frontend,shippingservice,1739227300,destination,48051
recommendationservice,productcatalogservice,1739227300,destination,100968
unknown,frontend,1739227300,destination,197445
checkoutservice,cartservice,1739227360,destination,14751
checkoutservice,currencyservice,1739227360,destination,14931
checkoutservice,emailservice,1739227360,destination,7284
checkoutservice,paymentservice,1739227360,destination,7319
checkoutservice,productcatalogservice,1739227360,destination,7785
checkoutservice,shippingservice,1739227360,destination,14638
frontend,adservice,1739227360,destination,69544
frontend,cartservice,1739227360,destination,168477
frontend,checkoutservice,1739227360,destination,8774
frontend,currencyservice,1739227360,destination,495765
frontend,productcatalogservice,1739227360,destination,708156
frontend,recommendationservice,1739227360,destination,101138
frontend,shippingservice,1739227360,destination,49005
recommendationservice,productcatalogservice,1739227360,destination,102942
unknown,frontend,1739227360,destination,200871
checkoutservice,cartservice,1739227420,destination,15033
checkoutservice,currencyservice,1739227420,destination,15224
checkoutservice,emailservice,1739227420,destination,7427
checkoutservice,paymentservice,1739227420,destination,7460
checkoutservice,productcatalogservice,1739227420,destination,7931
checkoutservice,shippingservice,1739227420,destination,14918
frontend,adservice,1739227420,destination,70865
frontend,cartservice,1739227420,destination,171661
frontend,checkoutservice,1739227420,destination,8922
frontend,currencyservice,1739227420,destination,504974
frontend,productcatalogservice,1739227420,destination,721053
frontend,recommendationservice,1739227420,destination,103120
frontend,shippingservice,1739227420,destination,49921
recommendationservice,productcatalogservice,1739227420,destination,104882
unknown,frontend,1739227420,destination,204138
checkoutservice,cartservice,1739227480,destination,15313
checkoutservice,currencyservice,1739227480,destination,15519
checkoutservice,emailservice,1739227480,destination,7569
checkoutservice,paymentservice,1739227480,destination,7601
checkoutservice,productcatalogservice,1739227480,destination,8081
checkoutservice,shippingservice,1739227480,destination,15202
frontend,adservice,1739227480,destination,72205
frontend,cartservice,1739227480,destination,174831
frontend,checkoutservice,1739227480,destination,9061
frontend,currencyservice,1739227480,destination,514415
frontend,productcatalogservice,1739227480,destination,733806
frontend,recommendationservice,1739227480,destination,105071
frontend,shippingservice,1739227480,destination,50888
recommendationservice,productcatalogservice,1739227480,destination,106797
unknown,frontend,1739227480,destination,207489
checkoutservice,cartservice,1739227540,destination,15587
checkoutservice,currencyservice,1739227540,destination,15803
checkoutservice,emailservice,1739227540,destination,7708
checkoutservice,paymentservice,1739227540,destination,7735
checkoutservice,productcatalogservice,1739227540,destination,8241
checkoutservice,shippingservice,1739227540,destination,15468
frontend,adservice,1739227540,destination,73452
frontend,cartservice,1739227540,destination,177906
frontend,checkoutservice,1739227540,destination,9199
frontend,currencyservice,1739227540,destination,523542
frontend,productcatalogservice,1739227540,destination,746360
frontend,recommendationservice,1739227540,destination,106958
frontend,shippingservice,1739227540,destination,51756
recommendationservice,productcatalogservice,1739227540,destination,108684
unknown,frontend,1739227540,destination,210682
checkoutservice,cartservice,1739227600,destination,15865
checkoutservice,currencyservice,1739227600,destination,16089
checkoutservice,emailservice,1739227600,destination,7845
checkoutservice,paymentservice,1739227600,destination,7876
checkoutservice,productcatalogservice,1739227600,destination,8386
checkoutservice,shippingservice,1739227600,destination,15750
frontend,adservice,1739227600,destination,74773
frontend,cartservice,1739227600,destination,181123
frontend,checkoutservice,1739227600,destination,9338
frontend,currencyservice,1739227600,destination,532526
frontend,productcatalogservice,1739227600,destination,759609
frontend,recommendationservice,1739227600,destination,108847
frontend,shippingservice,1739227600,destination,52712
recommendationservice,productcatalogservice,1739227600,destination,110678
unknown,frontend,1739227600,destination,214031
checkoutservice,cartservice,1739227660,destination,16153
checkoutservice,currencyservice,1739227660,destination,16378
checkoutservice,emailservice,1739227660,destination,7988
checkoutservice,paymentservice,1739227660,destination,8016
checkoutservice,productcatalogservice,1739227660,destination,8535
checkoutservice,shippingservice,1739227660,destination,16030
frontend,adservice,1739227660,destination,76108
frontend,cartservice,1739227660,destination,184372
frontend,checkoutservice,1739227660,destination,9480
frontend,currencyservice,1739227660,destination,542023
frontend,productcatalogservice,1739227660,destination,772826
frontend,recommendationservice,1739227660,destination,110849
frontend,shippingservice,1739227660,destination,53669
recommendationservice,productcatalogservice,1739227660,destination,112671
unknown,frontend,1739227660,destination,217441
checkoutservice,cartservice,1739227720,destination,16419
checkoutservice,currencyservice,1739227720,destination,16663
checkoutservice,emailservice,1739227720,destination,8128
checkoutservice,paymentservice,1739227720,destination,8161
checkoutservice,productcatalogservice,1739227720,destination,8675
checkoutservice,shippingservice,1739227720,destination,16320
frontend,adservice,1739227720,destination,77468
frontend,cartservice,1739227720,destination,187357
frontend,checkoutservice,1739227720,destination,9613
frontend,currencyservice,1739227720,destination,551173
frontend,productcatalogservice,1739227720,destination,784969
frontend,recommendationservice,1739227720,destination,112845
frontend,shippingservice,1739227720,destination,54591
recommendationservice,productcatalogservice,1739227720,destination,114500
unknown,frontend,1739227720,destination,220567
checkoutservice,cartservice,1739227780,destination,16695
checkoutservice,currencyservice,1739227780,destination,16936
checkoutservice,emailservice,1739227780,destination,8257
checkoutservice,paymentservice,1739227780,destination,8288
checkoutservice,productcatalogservice,1739227780,destination,8811
checkoutservice,shippingservice,1739227780,destination,16576
frontend,adservice,1739227780,destination,78696
frontend,cartservice,1739227780,destination,190386
frontend,checkoutservice,1739227780,destination,9748
frontend,currencyservice,1739227780,destination,559948
frontend,productcatalogservice,1739227780,destination,797364
frontend,recommendationservice,1739227780,destination,114665
frontend,shippingservice,1739227780,destination,55450
recommendationservice,productcatalogservice,1739227780,destination,116367
unknown,frontend,1739227780,destination,223787
checkoutservice,cartservice,1739227840,destination,16965
checkoutservice,currencyservice,1739227840,destination,17212
checkoutservice,emailservice,1739227840,destination,8396
checkoutservice,paymentservice,1739227840,destination,8424
checkoutservice,productcatalogservice,1739227840,destination,8961
checkoutservice,shippingservice,1739227840,destination,16846
frontend,adservice,1739227840,destination,80040
frontend,cartservice,1739227840,destination,193612
frontend,checkoutservice,1739227840,destination,9888
frontend,currencyservice,1739227840,destination,568903
frontend,productcatalogservice,1739227840,destination,810524
frontend,recommendationservice,1739227840,destination,116551
frontend,shippingservice,1739227840,destination,56389
recommendationservice,productcatalogservice,1739227840,destination,118344
unknown,frontend,1739227840,destination,227121
checkoutservice,cartservice,1739227900,destination,17249
checkoutservice,currencyservice,1739227900,destination,17500
checkoutservice,emailservice,1739227900,destination,8533
checkoutservice,paymentservice,1739227900,destination,8563
checkoutservice,productcatalogservice,1739227900,destination,9109
checkoutservice,shippingservice,1739227900,destination,17124
frontend,adservice,1739227900,destination,81349
frontend,cartservice,1739227900,destination,196798
frontend,checkoutservice,1739227900,destination,10030
frontend,currencyservice,1739227900,destination,578279
frontend,productcatalogservice,1739227900,destination,823495
frontend,recommendationservice,1739227900,destination,118519
frontend,shippingservice,1739227900,destination,57297
recommendationservice,productcatalogservice,1739227900,destination,120299
unknown,frontend,1739227900,destination,230459
checkoutservice,cartservice,1739227960,destination,17543
checkoutservice,currencyservice,1739227960,destination,17792
checkoutservice,emailservice,1739227960,destination,8676
checkoutservice,paymentservice,1739227960,destination,8705
checkoutservice,productcatalogservice,1739227960,destination,9260
checkoutservice,shippingservice,1739227960,destination,17410
